using config file: /home/ubuntu/Mini-Testing-Experiments/data/ser/checker:cobra-vs-us/keys/20231112140643/n8_k100000_t100010_r3/mini-config.yaml
Your Config: 
Config[LIB_TYPE=POSTGRESQL_LIB,CC_TYPE=WAIT_YOUNG_DIE,BENCH_TYPE=MINI,TIMESTAMP_ON=false,COBRA_FD=/tmp/cobra/,COBRA_FD_LOG=/tmp/cobra/log/,BENCHMARK_LOG_PATH=/tmp/cobra/benchmark.log,APPEND_OTHERWISE_RECREATE=false,DEBUG_LIB_FLAG=false,LOG_DEBUG=false,LOG_INFO=false,LOG_ERROR=true,SEED=1699777125,USE_INSTRUMENT=true,LOCAL_LOG=true,LOCAL_REMOTE_LOG=false,CLOUD_LOG=false,SIGN_DATA=false,MAX_FZ_TXN_NUM=20,NUM_TXN_IN_ENTITY=1,KEY_CLIENT_LOG_SUFFIX=_CL,EPOCH_KEY=FZVERSION,EPOCH_CLIENTS_SEP_STR=;,EPOCH_CLIENT_EPOCH_SEP_STR=:,USE_NEW_EPOCH_TXN=false,SKIP_LOADING=false,SKIP_TESTING=false,ENABLE_BARRIER=false,DONT_RECORD_LOADING=true,TXN_NUM=100010,CLIENT_ID=1,THREAD_NUM=8,CLIENT_NUM=1,SLEEP_TIME=1000,RESULT_FILE_NAME=result.txt,LATENCY_FOLDER=/tmp/cobra/latency/,REDIS_ADDRESS=redis://172.31.31.90/0,OP_PER_CHENGTXN=8,VALUE_LENGTH=140,KEY_PRFIX=key,KEY_INDX_START=1,NUM_KEYS=100000,RATIO_INSERT=0,RATIO_READ=20,RATIO_UPDATE=80,RATIO_DELETE=0,RATIO_RMW=0,WAREHOUSE_NUM=1,REPORT_NEWORDER_ONLY=false,RUBIS_USERS_NUM=20000,TWITTER_USERS_NUM=1000,OP_PER_GENERALTXN=4,VERIFIER_PORT=10086,VERIFIER_HOSTNAME=localhost,THROUGHPUT_PER_WAIT=1000,WAIT_BETWEEN_TXNS=0,GC_KEY=COBRA_GC_KEY,SERVER_PORT=8980,SERVER_HOST=ye-cheng.duckdns.org,PG_PASSWORD=postgres,PG_USERNAME=postgres,DB_URL=jdbc:postgresql://localhost:5432/testdb,GOOGLEVALUE=value,ROCKSDB_PATH=/tmp/rocksdb,ISOLATION_LEVEL=1,COCKROACH_PASSWORD=,COCKROACH_USERNAME=,yak=172.24.71.222,boa=172.24.71.208,ye=216.165.70.10,COCKROACH_DB_URLS={172.24.71.222,172.24.71.208,216.165.70.10},COCKROACH_PORTS={26257,26257,26257},COCKROACH_DATABASE_NAME=cobra,YUGABYTE_PASSWORD=,YUGABYTE_USERNAME=,YUGABYTE_DB_URLS={127.0.0.1,127.0.0.2,127.0.0.3},YUGABYTE_PORTS={5433,5433,5433},YUGABYTE_DATABASE_NAME=cobra,NUM_REPLICA=3,NUM_KEY_PERTABLE=2,ROANOMALY_NUM_RO=2,WOROANOMALY_NUM_WORO=2,CRACK_ACTIVE_ABORT_RATE=0]
[INFO] delete file [/tmp/cobra/log/T19.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T18.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T15.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T13.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T14.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T16.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.log]... done?true
[INFO] delete file [/tmp/cobra/log/T14.log]... done?true
[INFO] delete file [/tmp/cobra/log/T17.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.log]... done?true
[INFO] delete file [/tmp/cobra/log/T18.log]... done?true
[INFO] delete file [/tmp/cobra/log/T19.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.log]... done?true
[INFO] delete file [/tmp/cobra/log/T13.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.error]... done?true
[INFO] Clear done.
waiting for barrier
start benchmark
progress%=0.6% #commit=597 #abort_txn=3 success%=99.5% tps = 600
  #runners = 8
progress%=1.23% #commit=1223 #abort_txn=4 success%=99.67% tps = 625.12
  #runners = 8
progress%=1.88% #commit=1877 #abort_txn=5 success%=99.73% tps = 654.35
  #runners = 8
progress%=2.6% #commit=2599 #abort_txn=6 success%=99.77% tps = 723
  #runners = 8
progress%=3.38% #commit=3378 #abort_txn=6 success%=99.82% tps = 778.22
  #runners = 8
progress%=3.71% #commit=3701 #abort_txn=6 success%=99.84% tps = 323
  #runners = 8
progress%=4.29% #commit=4282 #abort_txn=8 success%=99.81% tps = 582.42
  #runners = 8
progress%=5.08% #commit=5075 #abort_txn=8 success%=99.84% tps = 793
  #runners = 8
progress%=5.89% #commit=5880 #abort_txn=8 success%=99.86% tps = 804.2
  #runners = 8
progress%=6.58% #commit=6575 #abort_txn=10 success%=99.85% tps = 697
  #runners = 8
progress%=7.09% #commit=7081 #abort_txn=10 success%=99.86% tps = 505.49
  #runners = 8
progress%=7.68% #commit=7668 #abort_txn=10 success%=99.87% tps = 587
  #runners = 8
progress%=8.04% #commit=8028 #abort_txn=10 success%=99.88% tps = 359.64
  #runners = 8
progress%=8.58% #commit=8572 #abort_txn=10 success%=99.88% tps = 544
  #runners = 8
progress%=9.24% #commit=9229 #abort_txn=10 success%=99.89% tps = 656.34
  #runners = 8
progress%=9.82% #commit=9810 #abort_txn=10 success%=99.9% tps = 580.42
  #runners = 8
progress%=10.42% #commit=10407 #abort_txn=10 success%=99.9% tps = 597
  #runners = 8
progress%=10.88% #commit=10872 #abort_txn=10 success%=99.91% tps = 464.54
  #runners = 8
progress%=11.43% #commit=11421 #abort_txn=10 success%=99.91% tps = 549
  #runners = 8
progress%=12.04% #commit=12027 #abort_txn=10 success%=99.92% tps = 605.39
  #runners = 8
progress%=12.57% #commit=12561 #abort_txn=10 success%=99.92% tps = 534
  #runners = 8
progress%=13.22% #commit=13208 #abort_txn=10 success%=99.92% tps = 646.35
  #runners = 8
progress%=13.97% #commit=13963 #abort_txn=10 success%=99.93% tps = 754.25
  #runners = 8
progress%=14.63% #commit=14618 #abort_txn=11 success%=99.92% tps = 656
  #runners = 8
progress%=15.49% #commit=15479 #abort_txn=11 success%=99.93% tps = 860.14
  #runners = 8
progress%=16.14% #commit=16133 #abort_txn=12 success%=99.93% tps = 655
  #runners = 8
progress%=16.92% #commit=16913 #abort_txn=12 success%=99.93% tps = 779.22
  #runners = 8
progress%=17.56% #commit=17550 #abort_txn=13 success%=99.93% tps = 638
  #runners = 8
progress%=18.21% #commit=18197 #abort_txn=14 success%=99.92% tps = 647.35
  #runners = 8
progress%=18.53% #commit=18513 #abort_txn=14 success%=99.92% tps = 316
  #runners = 8
progress%=19.23% #commit=19222 #abort_txn=14 success%=99.93% tps = 709
  #runners = 8
progress%=19.83% #commit=19817 #abort_txn=14 success%=99.93% tps = 594.41
  #runners = 8
progress%=20.43% #commit=20423 #abort_txn=14 success%=99.93% tps = 605.39
  #runners = 8
progress%=21.18% #commit=21166 #abort_txn=14 success%=99.93% tps = 743
  #runners = 8
progress%=22.02% #commit=22012 #abort_txn=15 success%=99.93% tps = 846.15
  #runners = 8
progress%=22.67% #commit=22655 #abort_txn=15 success%=99.93% tps = 643
  #runners = 8
progress%=23.49% #commit=23481 #abort_txn=15 success%=99.94% tps = 825.17
  #runners = 8
progress%=24.28% #commit=24266 #abort_txn=15 success%=99.94% tps = 785
  #runners = 8
progress%=25.02% #commit=25006 #abort_txn=15 success%=99.94% tps = 740
  #runners = 8
progress%=25.85% #commit=25833 #abort_txn=15 success%=99.94% tps = 826.17
  #runners = 8
progress%=26.54% #commit=26523 #abort_txn=15 success%=99.94% tps = 690
  #runners = 8
progress%=26.92% #commit=26908 #abort_txn=16 success%=99.94% tps = 385.61
  #runners = 8
progress%=27.63% #commit=27621 #abort_txn=16 success%=99.94% tps = 713
  #runners = 8
progress%=28.35% #commit=28333 #abort_txn=16 success%=99.94% tps = 712
  #runners = 8
progress%=29.12% #commit=29107 #abort_txn=16 success%=99.95% tps = 773.23
  #runners = 8
